Rank,School Name,School Type,Early Career Pay,Mid-Career Pay,% High Meaning,% STEM Degrees
724 (tie),University of La Verne,"Private School, Research University",48200,84200,0.56,0.04
731 (tie),College of Mount Saint Vincent,"Private School, Religious",49000,84100,0.61,0.08
731 (tie),Colorado State University-Pueblo,State School,45700,84100,0.58,0.14
731 (tie),Dallas Baptist University,"Private School, Religious, Research University",47500,84100,0.6,0.04
731 (tie),Southern Utah University,"For Sports Fans, State School",45200,84100,0.66,0.07
731 (tie),University of Detroit Mercy,"Private School, Religious, For Sports Fans",51800,84100,0.59,0.19
736 (tie),California State University-Monterey Bay,State School,46800,84000,0.5,0.12
736 (tie),Eastern Connecticut State University,State School,46900,84000,0.45,0.13
736 (tie),Hollins University,"Liberal Arts School, Private School",42200,84000,0.43,0.07
736 (tie),Lasell College,Private School,44800,84000,0.32,0
740 (tie),SUNY College of Technology at Alfred,State School,48300,83900,0.52,0.06
740 (tie),Angelo State University,State School,46200,83900,0.59,0.09
740 (tie),Bridgewater State University,State School,45400,83900,0.52,0.08
740 (tie),Christopher Newport University,State School,47900,83900,0.53,0.24
740 (tie),Ferris State University,State School,48800,83900,0.49,0.08
740 (tie),"Union College - Lincoln, NE","Private School, Religious",46900,83900,0.57,0.16
740 (tie),The University of Findlay,"Private School, Religious",47400,83900,0.55,0.03
747 (tie),Champlain College,Private School,49200,83800,0.39,0.17
747 (tie),DeSales University,"Private School, Religious",48100,83800,0.57,0.08
747 (tie),Indiana University of Pennsylvania-Main Campus,"Research University, State School",45100,83800,0.51,0.06
747 (tie),Saint John Fisher College,"Private School, Religious, Research University",44900,83800,0.46,0.09
747 (tie),University of Alabama at Birmingham,"Research University, For Sports Fans, State School",47100,83800,0.6,0.17
747 (tie),University of Minnesota-Morris,"Liberal Arts School, State School",45700,83800,0.61,0.36
747 (tie),Vanguard University of Southern California,"Private School, Religious",45800,83800,0.6,0.03
747 (tie),West Texas A & M University,State School,47000,83800,0.64,0.08
755 (tie),Florida Agricultural and Mechanical University,"Research University, For Sports Fans, State School",48200,83700,0.63,0.09
755 (tie),McNeese State University,"For Sports Fans, State School",48200,83700,0.6,0.13
755 (tie),Metropolitan State University of Denver,State School,47200,83700,0.51,0.1
758 (tie),Clarion University of Pennsylvania,State School,43200,83600,0.49,0.08
758 (tie),Georgia Southern University,"Research University, For Sports Fans, State School",46900,83600,0.5,0.18
758 (tie),University of Saint Joseph,"Private School, Religious",47500,83600,0.63,0.08
758 (tie),Texas A & M University-Commerce,"Research University, State School",44800,83600,0.55,0.11
758 (tie),The University of Texas at San Antonio,"Research University, For Sports Fans, State School",47700,83600,0.55,0.22
763 (tie),University of Jamestown,"Private School, Religious",47500,83500,0.67,0.06
763 (tie),The University of Texas of the Permian Basin,State School,47900,83500,0.6,0.19
765,Luther College,"Liberal Arts School, Private School, Religious",47000,83400,0.56,0.23
766 (tie),CUNY York College,State School,47000,83300,0.62,0.1
766 (tie),La Sierra University,"Private School, Religious",47800,83300,0.56,0.11
766 (tie),Massachusetts College of Art and Design,"Art, State School",46700,83300,0.42,0
766 (tie),Millikin University,"Private School, Religious",44800,83300,0.53,0.08
766 (tie),Otterbein University,"Private School, Religious",47500,83300,0.45,0.06
766 (tie),SUNY College at Potsdam,State School,41200,83300,0.58,0.15
766 (tie),State University of New York at New Paltz,State School,45600,83300,0.46,0.14
766 (tie),Western Illinois University,"For Sports Fans, State School",44700,83300,0.51,0.11
774,Eastern Nazarene College,"Private School, Religious",46900,83200,0.54,0.07
775 (tie),Baker University,"Business, Private School, Religious",46000,83100,0.52,0.02
775 (tie),Cleveland State University,"Research University, For Sports Fans, State School",47700,83100,0.51,0.17
775 (tie),Dominican College of Blauvelt,Private School,49100,83100,0.62,0.04
775 (tie),University of Northern Iowa,"For Sports Fans, State School",45400,83100,0.49,0.09
779 (tie),Dominican University,"Private School, Religious",47300,83000,0.44,0.06
779 (tie),Pine Manor College,"Liberal Arts School, Private School",46700,83000,N/A,0.14
779 (tie),Southern University and A & M College,"For Sports Fans, State School",46700,83000,0.67,0.18
779 (tie),West Virginia Wesleyan College,"Private School, Religious",45000,83000,0.59,0.2
779 (tie),Worcester State University,State School,48100,83000,0.49,0.1
784 (tie),University of St Francis,"Private School, Religious",48900,82900,0.7,0.04
784 (tie),Youngstown State University,"For Sports Fans, State School",46100,82900,0.55,0.18
786 (tie),Northwood University,"Business, Private School",46300,82800,0.48,0.01
786 (tie),University of Missouri-St Louis,"Research University, State School",46800,82800,0.51,0.12
788 (tie),Nebraska Wesleyan University,"Private School, Religious",44900,82700,0.61,0.1
788 (tie),Shepherd University,"Liberal Arts School, State School",44600,82700,0.49,0.11
790 (tie),Centenary University,"Private School, Religious",43000,82600,0.49,0.01
790 (tie),Hanover College,"Liberal Arts School, Private School, Religious",46300,82600,0.56,0.2
790 (tie),National Louis University,"Private School, Research University",46900,82600,0.65,0
790 (tie),Roanoke College,"Liberal Arts School, Private School, Religious",45600,82600,0.5,0.17
790 (tie),Wichita State University,"Research University, For Sports Fans, State School",47000,82600,0.56,0.24
795 (tie),Notre Dame of Maryland University,"Private School, Religious",47900,82500,0.62,0.03
795 (tie),Goldey-Beacom College,"Business, Private School",49000,82500,0.44,0.33
795 (tie),Heidelberg University,"Private School, Religious",44000,82500,0.51,0.1
795 (tie),University of the District of Columbia,State School,49300,82500,0.59,0.1
799 (tie),Carroll University,"Private School, Religious",43900,82400,0.5,0.14
799 (tie),Cleveland Institute of Art,"Art, Private School",44100,82400,0.36,0
799 (tie),East Carolina University,"Research University, For Sports Fans, State School",46300,82400,0.55,0.12
799 (tie),Franklin Pierce University,Private School,46600,82400,0.51,0.04
799 (tie),Hardin-Simmons University,"Private School, Religious",46200,82400,0.69,0.08
799 (tie),Lenoir-Rhyne University,"Private School, Religious",46600,82400,0.52,0.08
799 (tie),Maharishi University of Management,Private School,44300,82400,N/A,0.45
806 (tie),College of Charleston,"For Sports Fans, State School",45000,82300,0.47,0.2
806 (tie),East Stroudsburg University of Pennsylvania,State School,43500,82300,0.54,0.14
806 (tie),Immaculata University,"Private School, Religious, Research University",48300,82300,0.64,0.02
806 (tie),Ouachita Baptist University,"Liberal Arts School, Private School, Religious",43700,82300,0.62,0.17
806 (tie),Park University,Private School,47500,82300,0.59,0.08
811 (tie),Baptist Memorial College of Health Sciences,"Private School, Religious",51400,82200,0.89,0.03
811 (tie),Mount Saint Joseph University,"Private School, Religious",44400,82200,0.59,0.05
811 (tie),Walsh College of Accountancy and Business Administration,"Business, Private School",49300,82200,0.42,0.05
811 (tie),Wartburg College,"Liberal Arts School, Private School, Religious",47300,82200,0.5,0.3
815 (tie),Eastern Michigan University,"Research University, For Sports Fans, State School",45800,82100,0.51,0.07
815 (tie),Hiram College,"Liberal Arts School, Private School",44000,82100,0.51,0.19
815 (tie),Methodist College,Private School,49100,82100,N/A,0
815 (tie),University of Charleston,Private School,44200,82100,0.59,0.05
815 (tie),University of South Alabama,"Research University, For Sports Fans, State School",47100,82100,0.59,0.17
820 (tie),American International College,"Private School, Research University",50200,82000,0.52,0.01
820 (tie),Queens University of Charlotte,"Private School, Religious",46400,82000,0.44,0.05
820 (tie),SUNY College at Plattsburgh,State School,44100,82000,0.55,0.1
820 (tie),Simpson College,"Liberal Arts School, Private School, Religious",46600,82000,0.52,0.17
820 (tie),University of Great Falls,"Private School, Religious",44100,82000,0.6,0.08
825 (tie),Albright College,"Liberal Arts School, Private School, Religious",48100,81800,0.44,0.13
825 (tie),Augusta University,"Research University, State School",47200,81800,0.72,0.1
825 (tie),Boise State University,"Research University, For Sports Fans, State School",47300,81800,0.6,0.12
825 (tie),California Institute of the Arts,"Art, Private School",48400,81800,0.62,0
825 (tie),College of Saint Elizabeth,"Private School, Religious",47700,81800,0.56,0.04
825 (tie),Jacksonville University,"Private School, For Sports Fans",50900,81800,0.64,0.05
831 (tie),Concordia University-Saint Paul,"Private School, Religious",47900,81700,0.58,0.06
831 (tie),Erskine College,"Liberal Arts School, Private School, Religious",46000,81700,0.58,0.19
831 (tie),Graceland University-Lamoni,"Private School, Religious",47800,81700,0.71,0.03
831 (tie),Radford University,"For Sports Fans, State School",46600,81700,0.54,0.1
831 (tie),Webster University,"Business, Private School",44000,81700,0.5,0.01
836 (tie),Bellevue University,"Business, Private School",47300,81600,0.57,0.18
836 (tie),Lewis University,"Private School, Religious",48100,81600,0.55,0.1
836 (tie),Millersville University of Pennsylvania,State School,45500,81600,0.51,0.15
836 (tie),Rivier University,"Private School, Religious",47900,81600,0.58,0.33
836 (tie),SUNY Cortland,State School,44200,81600,0.57,0.06
841 (tie),Pennsylvania State University-Penn State Abington,State School,47600,81500,0.47,0.1
841 (tie),Regis College,"Private School, Religious",50200,81500,0.58,0.02
841 (tie),Rosemont College,"Private School, Religious",46100,81500,0.49,0.06
844,Metropolitan State University,State School,48300,81400,0.55,0.1
845 (tie),Concordia University-Portland,"Private School, Religious",45500,81300,0.73,0
845 (tie),The Evergreen State College,State School,45000,81300,0.52,0
845 (tie),San Francisco Art Institute,"Art, Private School",46900,81300,N/A,0
848 (tie),Ball State University,"Research University, For Sports Fans, State School",43800,81200,0.52,0.07
848 (tie),Fisk University,"Liberal Arts School, Private School",46200,81200,0.52,0.33
848 (tie),Flagler College-St Augustine,Private School,42500,81200,0.51,0
848 (tie),Lakeview College of Nursing,Private School,52500,81200,0.8,0
848 (tie),Midwestern State University,State School,48100,81200,0.6,0.14
848 (tie),University of Memphis,"Research University, For Sports Fans, State School",46200,81200,0.57,0.11
854 (tie),Dordt College,"Private School, Religious",47800,81100,0.56,0.16
854 (tie),Eastern University,"Private School, Religious",43600,81100,0.65,0.02
854 (tie),Georgetown College,"Liberal Arts School, Private School, Religious",44300,81100,0.52,0.1
854 (tie),Indiana State University,"Research University, For Sports Fans, State School",46300,81100,0.55,0.07
854 (tie),The College of Saint Scholastica,"Private School, Religious",49300,81100,0.61,0.1
859 (tie),Central Michigan University,"Research University, For Sports Fans, State School",45700,81000,0.47,0.11
859 (tie),Niagara University,"Private School, Religious, For Sports Fans",43000,81000,0.51,0.07
859 (tie),Northwest University,"Private School, Religious",48100,81000,0.49,0.04
859 (tie),University of West Georgia,"Research University, State School",44200,81000,0.54,0.08
863 (tie),Indiana University-Purdue University-Fort Wayne,"For Sports Fans, State School",44800,80900,0.56,0.13
863 (tie),Lake Superior State University,State School,45100,80900,0.57,0.12
863 (tie),McPherson College,"Private School, Religious",45100,80900,N/A,0.1
863 (tie),Muskingum University,"Private School, Religious",42800,80900,0.58,0.08
863 (tie),Northwest Missouri State University,State School,44100,80900,0.53,0.26
863 (tie),Oral Roberts University,"Private School, Religious, For Sports Fans",44400,80900,0.64,0.1
863 (tie),Texas Lutheran University,"Private School, Religious",44900,80900,0.51,0.16
870 (tie),Hood College,Private School,45600,80800,0.49,0.33
870 (tie),Minnesota State University Moorhead,State School,43600,80800,0.56,0.07
870 (tie),The University of Virginia's College at Wise,"Liberal Arts School, State School",44600,80800,0.46,0.06
873,Pennsylvania College of Technology,State School,49700,80700,0.5,0.04
874 (tie),Appalachian State University,"For Sports Fans, State School",44800,80600,0.5,0.08
874 (tie),Eastern Washington University,"For Sports Fans, State School",47600,80600,0.56,0.18
874 (tie),Saint Francis Medical Center College of Nursing,"Private School, Religious",50500,80600,N/A,0
874 (tie),University of Puerto Rico-Rio Piedras,"Research University, State School",44800,80600,0.63,0.17
878 (tie),Gwynedd Mercy University,"Private School, Religious",49600,80500,0.66,0.01
878 (tie),Olivet Nazarene University,"Private School, Religious",46400,80500,0.67,0.05
878 (tie),Southern New Hampshire University,Private School,46000,80500,0.47,0.08
881 (tie),Concordia College at Moorhead,"Liberal Arts School, Private School, Religious",45800,80300,0.62,0.19
881 (tie),Keene State College,State School,46400,80300,0.49,0.06
881 (tie),Northwestern College,"Private School, Religious",43300,80300,0.46,0.14
881 (tie),University of Holy Cross,"Private School, Religious",48300,80300,0.76,0.05
881 (tie),Pittsburg State University,State School,44500,80300,0.52,0.07
881 (tie),St Vincent's College,"Private School, Religious",45600,80300,N/A,0
881 (tie),University of Arkansas for Medical Sciences,State School,51700,80300,0.86,0.04
881 (tie),Western Kentucky University,"For Sports Fans, State School",43700,80300,0.51,0.1
889 (tie),Baldwin Wallace University,"Private School, Religious",45400,80200,0.46,0.12
889 (tie),Belmont University,"Private School, Religious, For Sports Fans",44900,80200,0.51,0.03
889 (tie),Caldwell University,"Private School, Religious",44700,80200,0.5,0.07
889 (tie),College of Our Lady of the Elms,"Private School, Religious",47700,80200,0.69,0.03
893 (tie),College of St Joseph,"Private School, Religious",44700,80100,0.67,0
893 (tie),Longwood University,"For Sports Fans, State School",45300,80100,0.57,0.07
893 (tie),Saint Joseph's College of Maine,"Private School, Religious",46600,80100,0.58,0.02
893 (tie),Texas Wesleyan University,"Private School, Religious",43800,80100,0.64,0.03
897 (tie),Agnes Scott College,"Liberal Arts School, Private School, Religious, Sober School",43800,80000,0.57,0.21
897 (tie),D'Youville College,Private School,51300,80000,0.71,0.04
897 (tie),Kent State University at Kent,"Research University, For Sports Fans, State School",44000,80000,0.49,0.14
897 (tie),Wheeling Jesuit University,"Private School, Religious",44300,80000,0.59,0.09
901 (tie),Columbia College Chicago,"Art, Private School",42900,79900,0.38,0
901 (tie),McMurry University,"Private School, Religious",45600,79900,0.6,0.1
901 (tie),Nicholls State University,"For Sports Fans, State School",43600,79900,0.5,0.04
901 (tie),Northeastern Illinois University,State School,45000,79900,0.49,0.15
901 (tie),The College of Saint Rose,Private School,42400,79900,0.57,0.04
906 (tie),Arcadia University,"Private School, Religious",43800,79800,0.5,0.12
906 (tie),Aurora University,Private School,45700,79800,0.53,0.03
906 (tie),Eastern New Mexico University-Main Campus,State School,43700,79800,0.59,0.05
906 (tie),Slippery Rock University of Pennsylvania,State School,43300,79800,0.59,0.08
906 (tie),Saint Ambrose University,"Private School, Religious",45400,79800,0.53,0.11
906 (tie),Troy University,"For Sports Fans, State School",43500,79800,0.62,0.08
906 (tie),Utica College,Private School,45600,79800,0.58,0.03
906 (tie),Walsh University,"Private School, Religious",46200,79800,0.5,0.09
914 (tie),Fort Lewis College,"Liberal Arts School, State School",45700,79700,0.56,0.17
914 (tie),Marymount Manhattan College,"Art, Liberal Arts School, Private School",48200,79700,0.42,0.01
914 (tie),University of Illinois at Springfield,State School,43900,79700,0.55,0.47
914 (tie),The University of Texas at Tyler,State School,47800,79700,0.6,0.13
918 (tie),Dakota State University,"Engineering, State School",46500,79600,0.53,0.53
918 (tie),Delaware State University,"For Sports Fans, State School",44300,79600,0.56,0.12
918 (tie),John Brown University,"Business, Private School",45000,79600,0.51,0.06
918 (tie),Rhode Island College,State School,45400,79600,0.55,0.04
918 (tie),University of Wisconsin-Oshkosh,State School,45700,79600,0.55,0.09
923 (tie),Maryland Institute College of Art,"Art, Private School",45400,79500,0.37,0
923 (tie),McKendree University,"Private School, Religious",44900,79500,0.57,0.06
923 (tie),Point Park University,Private School,42800,79500,0.48,0.03
