Rank,School Name,School Type,Early Career Pay,Mid-Career Pay,% High Meaning,% STEM Degrees
1089 (tie),The University of Texas Rio Grande Valley,"Research University, For Sports Fans, State School",44000,75100,0.65,0.17
1089 (tie),Urbana University,"Business, Private School",42500,75100,0.65,0.02
1098 (tie),Averett University-Non-Traditional Programs,"Business, Private School, Religious",46600,75000,N/A,0
1098 (tie),California Baptist University,"Private School, Religious",44400,75000,0.6,0.07
1098 (tie),Cumberland University,Private School,43800,75000,0.64,0.04
1098 (tie),Langston University,State School,44900,75000,0.65,0.03
1098 (tie),Marylhurst University,"Business, Private School, Religious",44900,75000,0.58,0
1098 (tie),University of Central Arkansas,"For Sports Fans, State School",43400,75000,0.51,0.09
1098 (tie),University of Wisconsin-Superior,State School,43400,75000,0.54,0.07
1098 (tie),Western State Colorado University,State School,44200,75000,0.49,0.17
1106 (tie),Columbus College of Art and Design,"Art, Private School",42200,74900,0.33,0
1106 (tie),Freed-Hardeman University,"Private School, Religious",42200,74900,0.55,0.07
1106 (tie),The Sage Colleges,Private School,43900,74900,0.57,0.09
1109 (tie),Bemidji State University,State School,44300,74800,0.49,0.09
1109 (tie),Defiance College,"Private School, Religious",40500,74800,0.53,0.06
1109 (tie),Lander University,State School,41300,74800,0.55,0.07
1112 (tie),Columbus State University,State School,41500,74700,0.6,0.08
1112 (tie),Fort Hays State University,State School,43700,74700,0.64,0.06
1112 (tie),CUNY Lehman College,State School,45900,74700,0.57,0.06
1112 (tie),Roberts Wesleyan College,"Private School, Religious",45100,74700,0.58,0.03
1116 (tie),Antioch University-Los Angeles,Private School,45000,74600,N/A,0
1116 (tie),Bellevue College,State School,46300,74600,N/A,0.11
1116 (tie),North Carolina Wesleyan College,"Private School, Religious",44800,74600,0.65,0.08
1116 (tie),University of Puerto Rico-Humacao,State School,43300,74600,N/A,0.18
1120,Sterling College,Private School,41300,74500,0.72,0.08
1121 (tie),Castleton University,State School,42100,74400,0.49,0.07
1121 (tie),Fresno Pacific University,"Private School, Religious",42900,74400,0.56,0.02
1121 (tie),Massachusetts College of Liberal Arts,"Liberal Arts School, State School",41700,74400,0.49,0.2
1121 (tie),Oakland City University,"Private School, Religious",39900,74400,0.61,0.03
1121 (tie),Shawnee State University,State School,42300,74400,0.45,0.04
1121 (tie),Thiel College,"Liberal Arts School, Private School, Religious",41400,74400,0.51,0.19
1121 (tie),Union University,"Private School, Religious, Research University",45000,74400,0.6,0.05
1121 (tie),West Virginia State University,"Liberal Arts School, State School",41000,74400,0.5,0.07
1129 (tie),Fisher College,Private School,43000,74300,0.41,0.03
1129 (tie),Savannah College of Art and Design,"Art, Private School",43600,74300,0.34,0.02
1131 (tie),Goshen College,"Private School, Religious",44300,74200,0.61,0.12
1131 (tie),Midland University,"Private School, Religious",43300,74200,0.62,0.07
1133,Simpson University,"Private School, Religious",43200,74100,0.7,0.04
1134 (tie),Armstrong State University,State School,45100,74000,0.66,0.11
1134 (tie),Ursuline College,"Private School, Religious",46600,74000,0.63,0.01
1136 (tie),Coppin State University,"For Sports Fans, State School",44800,73900,0.68,0.05
1136 (tie),Mount Vernon Nazarene University,"Private School, Religious",41700,73900,0.52,0.06
1136 (tie),Southwest Minnesota State University,State School,42500,73900,0.55,0.04
1139 (tie),Clayton State University,State School,44800,73800,0.55,0.07
1139 (tie),Indiana Wesleyan University-Marion,"Private School, Religious",45800,73800,0.58,0.06
